EECC;Proyecto;OC;IP Hijo;total_OC;total_certificar;termino_obra;servicio_obra;posiciones
LITEYCA;PLANTA INTERNA 2023;9405116256;P-23-3275142782;391.78;391.78;15/01/2024;15/01/2024;
LITEYCA;PLANTA INTERNA 2023;9405105833;P-23-3212394692;391.78;391.78;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2023;9405124011;P-23-3221350193;391.78;391.78;15/01/2024;15/01/2024;
LITEYCA;PLANTA INTERNA 2023;9405120904;P-23-3275165253;391.78;391.78;15/01/2024;15/01/2024;
LITEYCA;PLANTA INTERNA 2023;9405120924;P-23-3295528270;391.78;391.78;15/01/2024;15/01/2024;
LITEYCA;PLANTA INTERNA 2023;9405120914;P-23-3251163064;391.78;391.78;15/01/2024;15/01/2024;
LARI;PLANTA INTERNA 2023;9405124204;P-23-3253071194;391.78;391.78;15/01/2024;15/01/2024;
LITEYCA;PLANTA INTERNA 2023;9405124155;P-23-3267844082;783.57;783.57;15/01/2024;15/01/2024;
LITEYCA;PLANTA INTERNA 2023;9405124240;P-23-3218135344;783.57;783.57;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2023;9405120261;P-23-3214163282;2485.08;2485.08;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2023;9405120263;P-23-3221750724;690.3;690.3;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2023;9405120264;P-23-3259053165;4507.02;4507.02;15/01/2024;15/01/2024;
COMFICA;PLANTA INTERNA 2023;9405124203;P-23-3291441532;1380.6;1380.6;15/01/2024;15/01/2024;
LARI;PLANTA INTERNA 2023;9405124290;P-23-3295672332;11606.58;11606.58;15/01/2024;15/01/2024;
LARI;PLANTA INTERNA 2023;9405124259;P-23-3214788092;1656.72;1656.72;15/01/2024;15/01/2024;
DOMINION;PLANTA INTERNA 2023;9405120939;P-23-3221694672;391.78;391.78;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2023;9405124012;P-23-3223748952;391.78;391.78;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2023;9405120951;P-23-3233085437;783.57;783.57;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2024;9405167186;P-23-3273546649;3584.9;3584.9;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2024;9405167217;P-23-3274297042;5041.22;5041.22;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2024;9405167206;P-23-3277651494;1464.05;1464.05;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2024;9405167199;P-23-3256542033;391.78;391.78;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2024;9405167224;P-23-3249374532;340.55;340.55;15/01/2024;15/01/2024;
DOMINION;PLANTA INTERNA 2024;9405167208;P-23-3256182412;391.78;391.78;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2024;9405167123;P-23-3238568133;391.78;391.78;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2024;9405167118;P-23-3252890645;391.78;391.78;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2024;9405167085;P-23-3216325673;391.78;391.78;15/01/2024;15/01/2024;
COMFICA;PLANTA INTERNA 2024;9405167095;P-23-3229754317;391.78;391.78;15/01/2024;15/01/2024;
DOMINION;PLANTA INTERNA 2024;9405167076;P-23-3236672063;391.78;391.78;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2024;9405167096;P-23-3270529693;391.78;391.78;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2024;9405167097;P-23-3280746422;391.78;391.78;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2024;9405167048;P-23-3218017143;1242.54;1242.54;15/01/2024;15/01/2024;
DOMINION;PLANTA INTERNA 2024;9405167102;P-23-3280385613;529.84;529.84;15/01/2024;15/01/2024;
DOMINION;PLANTA INTERNA 2024;9405167058;P-23-3224935342;170.27;170.27;15/01/2024;15/01/2024;
DOMINION;PLANTA INTERNA 2024;9405167059;P-23-3242424082;170.27;170.27;15/01/2024;15/01/2024;
LITEYCA;PLANTA INTERNA 2024;9405167065;P-23-3276467450;391.78;391.78;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2024;9405167069;P-23-3259819353;1547.5;1547.5;15/01/2024;15/01/2024;
COMFICA;PLANTA INTERNA 2024;9405167056;P-23-3270225174;170.27;170.27;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2024;9405167057;P-23-3275427402;391.78;391.78;15/01/2024;15/01/2024;
COBRA;PLANTA INTERNA 2024;9405166999;P-23-3297382072;11060.46;11060.46;15/01/2024;15/01/2024;
COMFICA;PLANTA INTERNA 2024;9405167022;P-23-3277367453;391.78;391.78;15/01/2024;15/01/2024;
COMFICA;PLANTA INTERNA 2024;9405167008;P-23-3210574593;1242.54;1242.54;15/01/2024;15/01/2024;
LITEYCA;PLANTA INTERNA 2024;9405167033;P-23-3272933473;2488.76;2488.76;15/01/2024;15/01/2024;
COMFICA;PLANTA INTERNA 2024;9405167043;P-23-3297580492;529.84;529.84;15/01/2024;15/01/2024;
COMFICA;PLANTA INTERNA 2024;9405167021;P-23-3289692174;391.78;391.78;15/01/2024;15/01/2024;
PIN FTTH;PLANTA INTERNA 2024;9405174189;P-23-3281490252;391.78;391.78;15/01/2024;15/01/2024;
PIN FTTH;PLANTA INTERNA 2024;9405174209;P-23-3214918051;8396.88;8396.88;15/01/2024;15/01/2024;
PIN FTTH;PLANTA INTERNA 2024;9405179936;P-23-3265397903;478.61;478.61;15/01/2024;15/01/2024;
PIN FTTH;PLANTA INTERNA 2024;9405174196;P-24-3220210036;4847.57;4847.57;15/01/2024;15/01/2024;
PIN FTTH;PLANTA INTERNA 2024;9405174260;P-24-3225952210;7953.86;7953.86;15/01/2024;15/01/2024;
PIN FTTH;PLANTA INTERNA 2024;9405174253;P-24-3254395854;15769.66;15769.66;15/01/2024;15/01/2024;
PIN FTTH;PLANTA INTERNA 2024;9405174254;P-24-3276235904;8464.84;8464.84;15/01/2024;15/01/2024;
PIN FTTH;PLANTA INTERNA 2024;9405174233;P-24-3278764773;1242.54;1242.54;15/01/2024;15/01/2024;
PIN FTTH;PLANTA INTERNA 2024;9405174244;P-24-3285238935;4847.57;4847.57;15/01/2024;15/01/2024;
PIN FTTH;PLANTA INTERNA 2024;9405174217;P-24-3286735300;391.78;391.78;15/01/2024;15/01/2024;
PIN FTTH;PLANTA INTERNA 2024;9405174194;P-23-3246130114;391.78;391.78;15/01/2024;15/01/2024;
PIN FTTH;PLANTA INTERNA 2024;9405174219;P-24-3292994012;478.61;478.61;15/01/2024;15/01/2024;
PIN FTTH;PLANTA INTERNA 2024;9405174179;P-24-3218939551;391.78;391.78;15/01/2024;15/01/2024;
PIN FTTH;PLANTA INTERNA 2024;9405174240;P-24-3220892417;391.78;391.78;15/01/2024;15/01/2024;
PIN FTTH;PLANTA INTERNA 2024;9405174208;P-23-3276099375;391.78;391.78;15/01/2024;15/01/2024;
PIN FTTH;PIN FTTH;9405184927;P-23-3222433103;391.78;391.78;15/01/2024;15/01/2024;
PIN FTTH;PIN FTTH;9405185967;P-24-3219822222;170.27;170.27;15/01/2024;15/01/2024;
PIN FTTH;PIN FTTH;9405186010;P-24-3219921302;24096.74;24096.74;15/01/2024;15/01/2024;
PIN FTTH;PIN FTTH;9405185985;P-24-3238774562;819.16;819.16;15/01/2024;15/01/2024;
